Video ID,Title,Published Date,Views,Likes,Comments,Date,Time,Year,Month,Day,MonthName,Video Category
fIXHpGmlG88,Generate a meeting board in seconds with FigJam AI #figjam #shorts,2023-11-09 18:00:22+00:00,7638,333,1,2023-11-09,00:00:00,2023,11,9,Nov,Other
Gd1U79ReW00,7 Minute Snippets: Collaboration Across Design and Development,2023-11-08 18:04:58+00:00,10103,331,20,2023-11-08,00:00:00,2023,11,8,Nov,Design & Development
m7xWpAug1hg,"Office hours: Getting started in Figma, AMA",2023-11-06 17:00:41+00:00,7505,128,4,2023-11-06,00:00:00,2023,11,6,Nov,Product Updates
L4E1yupkISI,FigJam tutorial: User journey mapping,2023-10-31 16:00:16+00:00,89067,1419,20,2023-10-31,00:00:00,2023,10,31,Oct,Other
JyCmacSyDY4,"Tokens, variables, and styles - Update: Introduction to design systems",2023-10-24 16:00:13+00:00,251772,4455,67,2023-10-24,00:00:00,2023,10,24,Oct,Design & Development
LSgbL8zt0Ns,Learning check in: Questions & tips,2023-10-18 14:00:15+00:00,6117,101,2,2023-10-18,00:00:00,2023,10,18,Oct,Other
ENL03X4F2sM,Lesson 2:  Structuring your file,2023-10-11 15:00:09+00:00,19421,277,15,2023-10-11,00:00:00,2023,10,11,Oct,Other
PYS48SH3Y9c,Adding multimedia in FigJam for K12,2023-10-06 18:32:52+00:00,5083,76,9,2023-10-06,00:00:00,2023,10,6,Oct,Other
phJyH0cDXiM,Top 5 FigJam Graphic Organizers,2023-08-25 23:02:57+00:00,5010,59,2,2023-08-25,00:00:00,2023,8,25,Aug,Other
vCnB8bAEFl4,Backing color styles with variables,2023-06-28 17:06:51+00:00,107594,1720,113,2023-06-28,00:00:00,2023,6,28,Jun,Other
Dh0pcGozAXU,"Navigating a new product “normal” that’s anything but - Tamar Yehoshua, Noah Levin (Config 2023)",2023-06-25 21:22:04+00:00,2814,33,3,2023-06-25,00:00:00,2023,6,25,Jun,Other
iQK7YGjxAHU,"Messy, complicated, useful: building Slack’s brand guidelines - Lisa P, Gabriela L. (Config 2023)",2023-06-25 17:16:08+00:00,4907,71,3,2023-06-25,00:00:00,2023,6,25,Jun,Other
APhECDy2U3U,"The future of responsive design - Una Kravets, Adam Argyle (Config 2023)",2023-06-25 14:00:46+00:00,22447,503,30,2023-06-25,00:00:00,2023,6,25,Jun,Design & Development
B6Qk_j9UGU8,Using color at scale for aesthetics and accessibility - Ashley Seto (Config 2023),2023-06-24 21:13:40+00:00,11702,307,16,2023-06-24,00:00:00,2023,6,24,Jun,Other
BJPrRpmeFfE,"AI and empowering creative careers - Scott Belsky, Brooke Hopper (Config 2023)",2023-06-23 23:45:00+00:00,4914,57,4,2023-06-23,00:00:00,2023,6,23,Jun,Other
